CODE,DISPLAY,VERSION
A,ANTEPARTUM DEATH,
A1,"Congenital malformations, deformations and chromosomal abnormalities",
Q00,Anencephaly and similar malformations,ICD_PM
Q01,Encephalocele,ICD_PM
Q02,Microcephaly,ICD_PM
Q03,Congenital hydrocephalus,ICD_PM
Q04,Other congenital malformations of brain,ICD_PM
Q05,Spina bifida,ICD_PM
Q06,Other congenital malformations of spinal cord,ICD_PM
Q07,Other congenital malformations of nervous system,ICD_PM
Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit",ICD_PM
Q11,"Anophthalmos, microphthalmos and macrophthalmos",ICD_PM
Q12,Congenital lens malformations,ICD_PM
Q13,Congenital malformations of anterior segment of eye,ICD_PM
Q14,Congenital malformations of posterior segment of eye,ICD_PM
Q15,Other congenital malformations of eye,ICD_PM
Q16,Congenital malformations of ear causing impairment of hearing,ICD_PM
Q17,Other congenital malformations of ear,ICD_PM
Q18,Other congenital malformations of face and neck,ICD_PM
Q20,Congenital malformations of cardiac chambers and connections,ICD_PM
Q21,Congenital malformations of cardiac septa,ICD_PM
Q22,Congenital malformations of pulmonary and tricuspid valves,ICD_PM
Q23,Congenital malformations of aortic and mitral valves,ICD_PM
Q24,Other congenital malformations of heart,ICD_PM
Q25,Congenital malformations of great arteries,ICD_PM
Q26,Congenital malformations of great veins,ICD_PM
Q27,Other congenital malformations of peripheral vascular system,ICD_PM
Q28,Other congenital malformations of circulatory system,ICD_PM
Q30,Congenital malformations of nose,ICD_PM
Q31,Congenital malformations of larynx,ICD_PM
Q32,Congenital malformations of trachea and bronchus,ICD_PM
Q33,Congenital malformations of lung,ICD_PM
Q34,Other congenital malformations of respiratory system,ICD_PM
Q36,Cleft lip,ICD_PM
Q37,Cleft palate with cleft lip,ICD_PM
Q38,"Other congenital malformations of tongue, mouth and pharynx",ICD_PM
Q39,Congenital malformations of oesophagus,ICD_PM
Q40,Other congenital malformations of upper alimentary tract,ICD_PM
Q41,"Congenital absence, atresia and stenosis of small intestine",ICD_PM
Q42,"Congenital absence, atresia and stenosis of large intestine",ICD_PM
Q43,Other congenital malformations of intestine,ICD_PM
Q44,"Congenital malformations of gallbladder, bile ducts and liver",ICD_PM
Q45,Other congenital malformations of digestive system,ICD_PM
Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligame",ICD_PM
Q51,Congenital malformations of uterus and cervix,ICD_PM
Q52,Other congenital malformations of female genitalia,ICD_PM
Q53,Undescended testicle,ICD_PM
Q54,Hypospadias,ICD_PM
Q55,Other congenital malformations of male genital organs,ICD_PM
Q56,Indeterminate sex and pseudohermaphroditism,ICD_PM
Q60,Renal agenesis and other reduction defects of kidney,ICD_PM
Q61,Cystic kidney disease,ICD_PM
Q62,Congenital obstructive defects of renal pelvis and congenital malform,ICD_PM
Q63,Other congenital malformations of kidney,ICD_PM
Q64,Other congenital malformations of urinary system,ICD_PM
Q65,Congenital deformities of hip,ICD_PM
Q66,Congenital deformities of feet,ICD_PM
Q67,"Congenital musculoskeletal deformities of head, face, spine and chest",ICD_PM
Q68,Other congenital musculoskeletal deformities,ICD_PM
Q69,Polydactyly,ICD_PM
Q70,Syndactyly,ICD_PM
Q71,Reduction defects of upper limb,ICD_PM
Q72,Reduction defects of lower limb,ICD_PM
Q73,Reduction defects of unspecified limb,ICD_PM
Q74,Other congenital malformations of limb(s),ICD_PM
Q75,Other congenital malformations of skull and face bones,ICD_PM
Q76,Congenital malformations of spine and bony thorax,ICD_PM
Q77,Osteochondrodysplasia with defects of growth of tubular bones and spi,ICD_PM
Q78,Other osteochondrodysplasias,ICD_PM
Q79,"Congenital malformations of the musculoskeletal system, not elsewhere",ICD_PM
Q80,Congenital ichthyosis,ICD_PM
Q81,Epidermolysis bullosa,ICD_PM
Q82,Other congenital malformations of skin,ICD_PM
Q83,Congenital malformations of breast,ICD_PM
Q84,Other congenital malformations of integument,ICD_PM
Q85,"Phakomatoses, not elsewhere classified",ICD_PM
Q86,"Congenital malformation syndromes due to known exogenous causes, not",ICD_PM
Q87,Other specified congenital malformation syndromes affecting multiple,ICD_PM
Q89,"Other congenital malformations, not elsewhere classified",ICD_PM
Q90,Down syndrome,ICD_PM
Q91,Edwards syndrome and Patau syndrome,ICD_PM
Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere",ICD_PM
Q93,"Monosomies and deletions from the autosomes, not elsewhere classified",ICD_PM
Q95,"Balanced rearrangements and structural markers, not elsewhere classif",ICD_PM
Q96,Turner syndrome,ICD_PM
Q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified",ICD_PM
Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified",ICD_PM
Q99,"Other chromosome abnormalities, not elsewhere classified",ICD_PM
A2,Infection,
A50,Congenital syphilis,ICD_PM
A50.0,"Early congenital syphilis, symptomatic",ICD_PM
A50.1,"Early congenital syphilis, latent",ICD_PM
A50.2,"Early congenital syphilis, unspecified",ICD_PM
A50.9,"Congenital syphilis, unspecified",ICD_PM
P35,Congenital viral diseases,ICD_PM
P35.0,Congenital rubella syndrome,ICD_PM
P35.1,Congenital cytomegalovirus infection,ICD_PM
P35.2,Congenital herpesviral [herpes simplex] infection,ICD_PM
P35.3,Congenital viral hepatitis,ICD_PM
P35.8,Other congenital viral diseases,ICD_PM
P35.9,"Congenital viral disease, unspecified",ICD_PM
P37,Other congenital infectious and parasitic diseases,ICD_PM
P37.0,Congenital tuberculosis,ICD_PM
P37.1,Congenital toxoplasmosis,ICD_PM
P37.3,Congenital falciparum malaria,ICD_PM
P37.4,Other congenital malaria,ICD_PM
P37.8,Other specified congenital infectious and parasitic diseases,ICD_PM
P37.9,"Congenital infectious and parasitic disease, unspecified",ICD_PM
P39,Other infections specific to the perinatal period,ICD_PM
P39.2,"Intra-amniotic infection of fetus, not elsewhere classified",ICD_PM
P39.8,Other specified infections specific to the perinatal period,ICD_PM
P39.9,"Infection specific to the perinatal period, unspecified",ICD_PM
A3,Antepartum hypoxia / Acute antepartum event,
P20,Intrauterine hypoxia,ICD_PM
P20.0,Intrauterine hypoxia first noted before onset of labour,ICD_PM
P20.9,"Intrauterine hypoxia, unspecified",ICD_PM
A4,Other specified antepartum disorder,
P50,Fetal blood loss,ICD_PM
P50.0,Fetal blood loss from vasa praevia,ICD_PM
P50.1,Fetal blood loss from ruptured cord,ICD_PM
P50.2,Fetal blood loss from placenta,ICD_PM
P50.3,Haemorrhage into co-twin,ICD_PM
P50.4,Haemorrhage into maternal circulation,ICD_PM
P50.5,Fetal blood loss from cut end of co-twin’s cord,ICD_PM
P50.8,Other fetal blood loss,ICD_PM
P50.9,"Fetal blood loss, unspecified",ICD_PM
P52,Intracranial nontraumatic haemorrhage of fetus and newborn,ICD_PM
P52.0,"Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn",ICD_PM
P52.1,"Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn",ICD_PM
P52.2,"Intraventricular (nontraumatic) haemorrhage, grade 3 and grade 4, of fetus and newborn",ICD_PM
P52.3,Unspecified intraventricular (nontraumatic) haemorrhage of fetus and newborn,ICD_PM
P52.4,Intracerebral (nontraumatic) haemorrhage of fetus and newborn,ICD_PM
P52.5,Subarachnoid (nontraumatic) haemorrhage of fetus and newborn,ICD_PM
P52.6,Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn,ICD_PM
P52.8,Other intracranial (nontraumatic) haemorrhages of fetus and newborn,ICD_PM
P52.9,"Intracranial (nontraumatic) haemorrhage of fetus and newborn, unspecified",ICD_PM
P55,Haemolytic disease of fetus and newborn,ICD_PM
P55.0,Rhesus isoimmunization of fetus and newborn,ICD_PM
P55.1,ABO isoimmunization of fetus and newborn,ICD_PM
P55.8,Other haemolytic diseases of fetus and newborn,ICD_PM
P55.9,"Haemolytic disease of fetus and newborn, unspecified",ICD_PM
P56,Hydrops fetalis due to haemolytic disease,ICD_PM
P56.0,Hydrops fetalis due to isoimmunization,ICD_PM
P56.9,Hydrops fetalis due to other and unspecified haemolytic disease,ICD_PM
P60,Disseminated intravascular coagulation of fetus and newborn,ICD_PM
P61,Other perinatal haematological disorders,ICD_PM
P61.3,Congenital anaemia from fetal blood loss,ICD_PM
P61.4,"Other congenital anaemias, not elsewhere classified",ICD_PM
P61.8,Other specified perinatal haematological disorders,ICD_PM
P61.9,"Perinatal haematological disorder, unspecified",ICD_PM
P75,Meconium ileus in cystic fibrosis,ICD_PM
P77,Necrotizing enterocolitis of fetus and newborn,ICD_PM
P83,Other conditions of integument specific to fetus and newborn,ICD_PM
P83.2,Hydrops fetalis not due to haemolytic disease,ICD_PM
P83.3,Other and unspecified oedema specific to fetus and newborn,ICD_PM
P83.8,Other specified conditions of integument specific to fetus and newborn,ICD_PM
P83.9,"Condition of integument specific to fetus and newborn, unspecified",ICD_PM
P96,Other conditions originating in the perinatal period,ICD_PM
P96.0,Congenital renal failure,ICD_PM
P96.4,"Termination of pregnancy, affecting fetus and newborn",ICD_PM
P96.5,"Complications of intrauterine procedures, not elsewhere classified",ICD_PM
P96.8,Other specified conditions originating in the perinatal period,ICD_PM
P96.9,"Condition originating in the perinatal period, unspecified",ICD_PM
A5,Disorders related to length of gestation and fetal growth,
P05,Slow fetal growth and fetal malnutrition,ICD_PM
P05.0,Light for gestational age,ICD_PM
P05.1,Small for gestational age,ICD_PM
P05.2,Fetal malnutrition without mention of light or small for gestational age,ICD_PM
P05.9,"Slow fetal growth, unspecified",ICD_PM
P08,Disorders related to long gestation and high birth weight,ICD_PM
P08.0,Exceptionally large baby,ICD_PM
P08.1,Other heavy for gestational age infants,ICD_PM
P08.2,"Post-term infant, not heavy for gestational age",ICD_PM
A6,Fetal death of unspecified cause / Antepartum death of unspecified cause,
P95,Fetal death of unspecified cause,ICD_PM
I,INTRAPARTUM DEATH,
I1,"Congenital malformations, deformations and chromosomal abnormalities",
Q00-Q07 ,Congenital malformations of the nervous system,
Q00,Anencephaly and similar malformations,ICD_PM
Q01,Encephalocele,ICD_PM
Q02,Microcephaly,ICD_PM
Q03,Congenital hydrocephalus,ICD_PM
Q04,Other congenital malformations of brain,ICD_PM
Q05,Spina bifida,ICD_PM
Q06,Other congenital malformations of spinal cord,ICD_PM
Q07,Other congenital malformations of nervous system,ICD_PM
Q10-Q18 ,"Congenital malformations of eye, ear, face and neck",
Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit",ICD_PM
Q11,"Anophthalmos, microphthalmos and macrophthalmos",ICD_PM
Q12,Congenital lens malformations,ICD_PM
Q13,Congenital malformations of anterior segment of eye,ICD_PM
Q14,Congenital malformations of posterior segment of eye,ICD_PM
Q15,Other congenital malformations of eye,ICD_PM
Q16,Congenital malformations of ear causing impairment of hearing,ICD_PM
Q17,Other congenital malformations of ear,ICD_PM
Q18,Other congenital malformations of face and neck,ICD_PM
Q20-Q28 ,Congenital malformations of the circulatory system,
Q20,Congenital malformations of cardiac chambers and connections,ICD_PM
Q21,Congenital malformations of cardiac septa,ICD_PM
Q22,Congenital malformations of pulmonary and tricuspid valves,ICD_PM
Q23,Congenital malformations of aortic and mitral valves,ICD_PM
Q24,Other congenital malformations of heart,ICD_PM
Q25,Congenital malformations of great arteries,ICD_PM
Q26,Congenital malformations of great veins,ICD_PM
Q27,Other congenital malformations of peripheral vascular system,ICD_PM
Q28,Other congenital malformations of circulatory system,ICD_PM
Q30-Q34 ,Congenital malformations of the respiratory system,
Q30,Congenital malformations of nose,ICD_PM
Q31,Congenital malformations of larynx,ICD_PM
Q32,Congenital malformations of trachea and bronchus,ICD_PM
Q33,Congenital malformations of lung,ICD_PM
Q34,Other congenital malformations of respiratory system,ICD_PM
Q36-Q37 ,Cleft lip and cleft palate,
Q36,Cleft lip,ICD_PM
Q37,Cleft palate with cleft lip,ICD_PM
Q38-Q45 ,Other congenital malformations of the digestive system,
Q38,"Other congenital malformations of tongue, mouth and pharynx",ICD_PM
Q39,Congenital malformations of oesophagus,ICD_PM
Q40,Other congenital malformations of upper alimentary tract,ICD_PM
Q41,"Congenital absence, atresia and stenosis of small intestine",ICD_PM
Q42,"Congenital absence, atresia and stenosis of large intestine",ICD_PM
Q43,Other congenital malformations of intestine,ICD_PM
Q44,"Congenital malformations of gallbladder, bile ducts and liver",ICD_PM
Q45,Other congenital malformations of digestive system,ICD_PM
Q50-Q56 ,Congenital malformations of genital organs,
Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligame",ICD_PM
Q51,Congenital malformations of uterus and cervix,ICD_PM
Q52,Other congenital malformations of female genitalia,ICD_PM
Q53,Undescended testicle,ICD_PM
Q54,Hypospadias,ICD_PM
Q55,Other congenital malformations of male genital organs,ICD_PM
Q56,Indeterminate sex and pseudohermaphroditism,ICD_PM
Q60-Q64,Congenital malformations of the urinary system,
Q60,Renal agenesis and other reduction defects of kidney,ICD_PM
Q61,Cystic kidney disease,ICD_PM
Q62,Congenital obstructive defects of renal pelvis and congenital malform,ICD_PM
Q63,Other congenital malformations of kidney,ICD_PM
Q64,Other congenital malformations of urinary system,ICD_PM
Q65-Q79 ,Congenital malformations and deformations of the musculoskeletal system,
Q65,Congenital deformities of hip,ICD_PM
Q66,Congenital deformities of feet,ICD_PM
Q67,"Congenital musculoskeletal deformities of head, face, spine and chest",ICD_PM
Q68,Other congenital musculoskeletal deformities,ICD_PM
Q69,Polydactyly,ICD_PM
Q70,Syndactyly,ICD_PM
Q71,Reduction defects of upper limb,ICD_PM
Q72,Reduction defects of lower limb,ICD_PM
Q73,Reduction defects of unspecified limb,ICD_PM
Q74,Other congenital malformations of limb(s),ICD_PM
Q75,Other congenital malformations of skull and face bones,ICD_PM
Q76,Congenital malformations of spine and bony thorax,ICD_PM
Q77,Osteochondrodysplasia with defects of growth of tubular bones and spi,ICD_PM
Q78,Other osteochondrodysplasias,ICD_PM
Q79,"Congenital malformations of the musculoskeletal system, not elsewhere",ICD_PM
Q80-Q89 ,Other congenital malformations,
Q80,Congenital ichthyosis,ICD_PM
Q81,Epidermolysis bullosa,ICD_PM
Q82,Other congenital malformations of skin,ICD_PM
Q83,Congenital malformations of breast,ICD_PM
Q84,Other congenital malformations of integument,ICD_PM
Q85,"Phakomatoses, not elsewhere classified",ICD_PM
Q86,"Congenital malformation syndromes due to known exogenous causes, not",ICD_PM
Q87,Other specified congenital malformation syndromes affecting multiple,ICD_PM
Q89,"Other congenital malformations, not elsewhere classified",ICD_PM
Q90-Q99 ,"Chromosomal abnormalities, not elsewhere classified",
Q90,Down syndrome,ICD_PM
Q91,Edwards syndrome and Patau syndrome,ICD_PM
Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere",ICD_PM
Q93,"Monosomies and deletions from the autosomes, not elsewhere classified",ICD_PM
Q95,"Balanced rearrangements and structural markers, not elsewhere classif",ICD_PM
Q96,Turner syndrome,ICD_PM
Q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified",ICD_PM
Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified",ICD_PM
Q99,"Other chromosome abnormalities, not elsewhere classified",ICD_PM
I2,Disorders related to length of gestation and fetal growth ,
P10,Intracranial laceration and haemorrhage due to birth injury,ICD_PM
P10.0,Subdural haemorrhage due to birth injury,ICD_PM
P10.1,Cerebral haemorrhage due to birth injury,ICD_PM
P10.2,Intraventricular haemorrhage due to birth injury,ICD_PM
P10.3,Subarachnoid haemorrhage due to birth injury,ICD_PM
P10.4,Tentorial tear due to birth injury,ICD_PM
P10.8,Other intracranial lacerations and haemorrhages due to birth injury,ICD_PM
P10.9,Unspecified intracranial laceration and haemorrhage due to birth injury,ICD_PM
P11,Other birth injuries to central nervous system,ICD_PM
P11.0,Cerebral oedema due to birth injury,ICD_PM
P11.1,Other specified brain damage due to birth injury,ICD_PM
P11.2,Unspecified brain damage due to birth injury,ICD_PM
P11.5,Birth injury to spine and spinal cord,ICD_PM
P11.9,"Birth injury to central nervous system, unspecified",ICD_PM
P12,Birth injury to scalp,ICD_PM
P12.0,Cephalhaematoma due to birth injury,ICD_PM
P12.1,Chignon due to birth injury,ICD_PM
P12.2,Epicranial subaponeurotic haemorrhage due to birth injury,ICD_PM
P12.3,Bruising of scalp due to birth injury,ICD_PM
P12.4,Monitoring injury of scalp of newborn,ICD_PM
P12.8,Other birth injuries to scalp,ICD_PM
P12.9,"Birth injury to scalp, unspecified",ICD_PM
P13,Birth injury to skeleton,ICD_PM
P13.0,Fracture of skull due to birth injury,ICD_PM
P13.1,Other birth injuries to skull,ICD_PM
P13.2,Birth injury to femur,ICD_PM
P13.3,Birth injury to other long bones,ICD_PM
P13.4,Fracture of clavicle due to birth injury,ICD_PM
P13.8,Birth injuries to other parts of skeleton,ICD_PM
P13.9,"Birth injury to skeleton, unspecified",ICD_PM
P15,Other birth injuries,ICD_PM
P15.0,Birth injury to liver,ICD_PM
P15.1,Birth injury to spleen,ICD_PM
P15.2,Sternomastoid injury due to birth injury,ICD_PM
P15.8,Other specified birth injuries,ICD_PM
P15.9,"Birth injury, unspecified",ICD_PM
I3,Acute intrapartum event,
P20,Intrauterine hypoxia,ICD_PM
P20.1,Intrauterine hypoxia first noted during labour and delivery,ICD_PM
P20.9,"Intrauterine hypoxia, unspecified",ICD_PM
I4,Infection,
P35,Congenital viral diseases,ICD_PM
P35.0,Congenital rubella syndrome,ICD_PM
P35.1,Congenital cytomegalovirus infection,ICD_PM
P35.2,Congenital herpesviral [herpes simplex] infection,ICD_PM
P35.3,Congenital viral hepatitis,ICD_PM
P35.8,Other congenital viral diseases,ICD_PM
P35.9,"Congenital viral disease, unspecified",ICD_PM
P37,Other congenital infectious and parasitic diseases,ICD_PM
P37.0,Congenital tuberculosis,ICD_PM
P37.1,Congenital toxoplasmosis,ICD_PM
P37.3,Congenital falciparum malaria,ICD_PM
P37.4,Other congenital malaria,ICD_PM
P37.8,Other specified congenital infectious and parasitic diseases,ICD_PM
P37.9,"Congenital infectious and parasitic disease, unspecified",ICD_PM
P39,Other infections specific to the perinatal period,ICD_PM
P39.2,"Intra-amniotic infection of fetus, not elsewhere classified",ICD_PM
P39.8,Other specified infections specific to the perinatal period,ICD_PM
P39.9,"Infection specific to the perinatal period, unspecified",ICD_PM
I5,Other specified intrapartum disorder,
P50,Fetal blood loss,ICD_PM
P50.0,Fetal blood loss from vasa praevia,ICD_PM
P50.1,Fetal blood loss from ruptured cord,ICD_PM
P50.2,Fetal blood loss from placenta,ICD_PM
P50.3,Haemorrhage into co-twin,ICD_PM
P50.4,Haemorrhage into maternal circulation,ICD_PM
P50.5,Fetal blood loss from cut end of co-twin’s cord,ICD_PM
P50.8,Other fetal blood loss,ICD_PM
P50.9,"Fetal blood loss, unspecified",ICD_PM
P52,Intracranial nontraumatic haemorrhage of fetus and newborn,ICD_PM
P52.0,"Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn",ICD_PM
P52.1,"Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn",ICD_PM
P52.2,"Intraventricular (nontraumatic) haemorrhage, grade 3 and grade 4, of fetus and newborn",ICD_PM
P52.3,Unspecified intraventricular (nontraumatic) haemorrhage of fetus and newborn,ICD_PM
P52.4,Intracerebral (nontraumatic) haemorrhage of fetus and newborn,ICD_PM
P52.5,Subarachnoid (nontraumatic) haemorrhage of fetus and newborn,ICD_PM
P52.6,Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn,ICD_PM
P52.8,Other intracranial (nontraumatic) haemorrhages of fetus and newborn,ICD_PM
P52.9,"Intracranial (nontraumatic) haemorrhage of fetus and newborn, unspecified",ICD_PM
P55,Haemolytic disease of fetus and newborn,ICD_PM
P55.0,Rhesus isoimmunization of fetus and newborn,ICD_PM
P55.1,ABO isoimmunization of fetus and newborn,ICD_PM
P55.8,Other haemolytic diseases of fetus and newborn,ICD_PM
P55.9,"Haemolytic disease of fetus and newborn, unspecified",ICD_PM
P56,Hydrops fetalis due to haemolytic disease,ICD_PM
P56.0,Hydrops fetalis due to isoimmunization,ICD_PM
P56.9,Hydrops fetalis due to other and unspecified haemolytic disease,ICD_PM
P60,Disseminated intravascular coagulation of fetus and newborn,ICD_PM
P61,Other perinatal haematological disorders,ICD_PM
P61.3,Congenital anaemia from fetal blood loss,ICD_PM
P61.4,"Other congenital anaemias, not elsewhere classified",ICD_PM
P61.8,Other specified perinatal haematological disorders,ICD_PM
P61.9,"Perinatal haematological disorder, unspecified",ICD_PM
P96,Other conditions originating in the perinatal period,ICD_PM
P96.0,Congenital renal failure,ICD_PM
P96.4,"Termination of pregnancy, affecting fetus and newborn",ICD_PM
P96.5,"Complications of intrauterine procedures, not elsewhere classified",ICD_PM
P96.8,Other specified conditions originating in the perinatal period,ICD_PM
P96.9,"Condition originating in the perinatal period, unspecified",ICD_PM
I6,Disorders related to fetal growth,
P05,Slow fetal growth and fetal malnutrition,ICD_PM
P05.0,Light for gestational age,ICD_PM
P05.1,Small for gestational age,ICD_PM
P05.2,Fetal malnutrition without mention of light or small for gestational age,ICD_PM
P05.9,"Slow fetal growth, unspecified",ICD_PM
P07,"Disorders related to short gestation and low birth weight, not elsewhere classified",ICD_PM
P07.0,Extremely low birth weight,ICD_PM
P07.1,Other low birth weight,ICD_PM
P07.2,Extreme immaturity,ICD_PM
P07.3,Other preterm infants,ICD_PM
P08,Disorders related to long gestation and high birth weight,ICD_PM
P08.0,Exceptionally large baby,ICD_PM
P08.1,Other heavy for gestational age infants,ICD_PM
P08.2,"Post-term infant, not heavy for gestational age",ICD_PM
I7,Intrapartum death of unspecified cause,
P95,Fetal death of unspecified cause,ICD_PM
N,NEONATAL DEATH,
N1,"Congenital malformations, deformations and chromosomal abnormalities",
Q00,Anencephaly and similar malformations,ICD_PM
Q01,Encephalocele,ICD_PM
Q02,Microcephaly,ICD_PM
Q03,Congenital hydrocephalus,ICD_PM
Q04,Other congenital malformations of brain,ICD_PM
Q05,Spina bifida,ICD_PM
Q06,Other congenital malformations of spinal cord,ICD_PM
Q07,Other congenital malformations of nervous system,ICD_PM
Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit",ICD_PM
Q11,"Anophthalmos, microphthalmos and macrophthalmos",ICD_PM
Q12,Congenital lens malformations,ICD_PM
Q13,Congenital malformations of anterior segment of eye,ICD_PM
Q14,Congenital malformations of posterior segment of eye,ICD_PM
Q15,Other congenital malformations of eye,ICD_PM
Q16,Congenital malformations of ear causing impairment of hearing,ICD_PM
Q17,Other congenital malformations of ear,ICD_PM
Q18,Other congenital malformations of face and neck,ICD_PM
Q20,Congenital malformations of cardiac chambers and connections,ICD_PM
Q21,Congenital malformations of cardiac septa,ICD_PM
Q22,Congenital malformations of pulmonary and tricuspid valves,ICD_PM
Q23,Congenital malformations of aortic and mitral valves,ICD_PM
Q24,Other congenital malformations of heart,ICD_PM
Q25,Congenital malformations of great arteries,ICD_PM
Q26,Congenital malformations of great veins,ICD_PM
Q27,Other congenital malformations of peripheral vascular system,ICD_PM
Q28,Other congenital malformations of circulatory system,ICD_PM
Q30,Congenital malformations of nose,ICD_PM
Q31,Congenital malformations of larynx,ICD_PM
Q32,Congenital malformations of trachea and bronchus,ICD_PM
Q33,Congenital malformations of lung,ICD_PM
Q34,Other congenital malformations of respiratory system,ICD_PM
Q36,Cleft lip,ICD_PM
Q37,Cleft palate with cleft lip,ICD_PM
Q38,"Other congenital malformations of tongue, mouth and pharynx",ICD_PM
Q39,Congenital malformations of oesophagus,ICD_PM
Q40,Other congenital malformations of upper alimentary tract,ICD_PM
Q41,"Congenital absence, atresia and stenosis of small intestine",ICD_PM
Q42,"Congenital absence, atresia and stenosis of large intestine",ICD_PM
Q43,Other congenital malformations of intestine,ICD_PM
Q44,"Congenital malformations of gallbladder, bile ducts and liver",ICD_PM
Q45,Other congenital malformations of digestive system,ICD_PM
Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligame",ICD_PM
Q51,Congenital malformations of uterus and cervix,ICD_PM
Q52,Other congenital malformations of female genitalia,ICD_PM
Q53,Undescended testicle,ICD_PM
Q54,Hypospadias,ICD_PM
Q55,Other congenital malformations of male genital organs,ICD_PM
Q56,Indeterminate sex and pseudohermaphroditism,ICD_PM
Q60,Renal agenesis and other reduction defects of kidney,ICD_PM
Q61,Cystic kidney disease,ICD_PM
Q62,Congenital obstructive defects of renal pelvis and congenital malform,ICD_PM
Q63,Other congenital malformations of kidney,ICD_PM
Q64,Other congenital malformations of urinary system,ICD_PM
Q65,Congenital deformities of hip,ICD_PM
Q66,Congenital deformities of feet,ICD_PM
